-10.799,1.2516
-10.799,1.9587
-10.092,1.9587
-10.799,2.6658
-10.092,2.6658
-10.799,3.3729
-10.799,4.08
-10.799,4.7871
-10.799,5.4942
-10.799,6.9085
-10.799,7.6156
-10.799,9.7369
-10.799,10.444
-10.799,12.565
-10.799,13.272
-10.799,13.98
-10.799,15.394
-10.799,16.101
-10.799,17.515
-10.799,18.222
-9.3849,1.2516
-10.092,1.2516
-9.3849,1.9587
-8.6778,2.6658
-9.3849,2.6658
-9.3849,3.3729
-10.092,3.3729
-10.092,4.08
-10.092,4.7871
-10.799,6.2013
-10.799,8.3227
-10.799,9.0298
-10.799,11.151
-10.799,11.858
-10.092,12.565
-10.092,13.98
-10.799,14.687
-10.799,16.808
-10.092,16.808
-10.799,18.929
-8.6778,1.2516
-7.9707,1.2516
-7.9707,1.9587
-8.6778,1.9587
-7.9707,2.6658
-7.9707,3.3729
-8.6778,3.3729
-9.3849,4.08
-10.092,5.4942
-10.092,6.2013
-10.092,8.3227
-10.092,9.7369
-10.092,10.444
-10.092,11.858
-10.092,13.272
-10.092,14.687
-10.092,15.394
-10.092,16.101
-10.092,17.515
-10.092,18.222
-6.5565,1.2516
-7.2636,1.2516
-7.2636,1.9587
-6.5565,1.9587
-7.2636,2.6658
-6.5565,2.6658
-6.5565,3.3729
-5.8494,3.3729
-7.2636,3.3729
-10.092,6.9085
-10.092,7.6156
-10.092,9.0298
-1.6067,10.444
-10.092,11.151
-1.6067,12.565
-1.6067,14.687
-1.6067,15.394
-1.6067,16.808
-1.6067,17.515
-10.092,18.929
-5.8494,1.2516
-5.1422,1.2516
-5.1422,1.9587
-5.8494,1.9587
-5.1422,2.6658
-5.8494,2.6658
-4.4351,3.3729
-5.1422,3.3729
-1.6067,5.4942
-1.6067,7.6156
-1.6067,8.3227
-1.6067,9.7369
-1.6067,11.151
-1.6067,11.858
-1.6067,13.272
-1.6067,13.98
-1.6067,16.101
-0.89961,16.808
-1.6067,18.222
-1.6067,18.929
-3.728,1.2516
-4.4351,1.2516
-4.4351,1.9587
-4.4351,2.6658
-3.728,2.6658
-3.0209,3.3729
-3.728,3.3729
-2.3138,4.08
-1.6067,6.2013
-1.6067,6.9085
-0.89961,8.3227
-1.6067,9.0298
-0.89961,11.151
-0.89961,12.565
-0.89961,13.272
-0.89961,14.687
-0.89961,15.394
-0.89961,16.101
-0.89961,17.515
-0.89961,18.222
-3.0209,1.2516
-3.728,1.9587
-3.0209,1.9587
-2.3138,2.6658
-3.0209,2.6658
-2.3138,3.3729
-1.6067,4.08
-1.6067,4.7871
-0.89961,6.9085
-0.89961,7.6156
-0.89961,9.0298
-0.89961,9.7369
-0.89961,10.444
-0.89961,11.858
-0.89961,13.98
3.343,13.98
3.343,15.394
3.343,16.808
3.343,18.222
-0.89961,18.929
-2.3138,1.2516
-2.3138,1.9587
-1.6067,1.9587
-1.6067,2.6658
-1.6067,3.3729
-0.89961,4.08
-0.89961,4.7871
-0.89961,5.4942
-0.89961,6.2013
3.343,8.3227
3.343,9.7369
3.343,11.151
3.343,11.858
3.343,12.565
3.343,13.272
3.343,14.687
4.0501,15.394
3.343,16.101
3.343,17.515
3.343,18.929
-0.89961,1.2516
-1.6067,1.2516
-0.89961,1.9587
-0.89961,2.6658
-0.89961,3.3729
3.343,5.4942
3.343,6.2013
3.343,6.9085
3.343,7.6156
4.0501,9.0298
3.343,9.0298
3.343,10.444
